"brand";"model_year";"milage";"fuel_type";"engine";"transmission";"ext_col";"int_col";"accident";"clean_title";"price_dollar";"horsepower";"cylinders"
"Ford";2013;51000;"E85 Flex Fuel";"300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability";"Automatic";"Black";"Black";"At least 1 accident or damage reported";"Yes";10300;300;6
"INFINITI";2015;88900;"Hybrid";"354.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid";"Automatic";"Black";"Black";"None reported";"Yes";15500;354;6
"Audi";2017;84000;"Gasoline";"292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Blue";"Black";"None reported";"Yes";31000;292;4
"BMW";2001;242000;"Gasoline";"282.0HP 4.4L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Green";"Green";"None reported";"Yes";7300;282;8
"Lexus";2021;23436;"Gasoline";"311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"None reported";"Yes";41927;311;6
"Tesla";2020;34000;"Electric";"534.0HP Electric Motor Electric Fuel System";"Automatic";"Black";"Black";"None reported";"Yes";69950;534;0
"Toyota";2021;12500;"Gasoline";"382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel";"Automatic";"Yellow";"Black";"None reported";"Yes";53500;382;6
"Lincoln";2022;18196;"Gasoline";"400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Brown";"None reported";"Yes";62000;400;6
"Land";2013;79800;"Gasoline";"375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Black";"None reported";"Yes";29990;375;8
"Dodge";2013;61074;"Gasoline";"305.0HP 3.6L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Gray";"None reported";"Yes";16800;305;6
"Nissan";2003;74000;"Gasoline";"287.0HP 3.5L V6 Cylinder Engine Gasoline Fuel";"Manual";"Purple";"–";"None reported";"Yes";11000;287;6
"Jaguar";2018;35250;"Gasoline";"550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Green";"Black";"None reported";"Yes";68750;550;8
