brand;model_year;milage;fuel_type;engine;transmission;ext_col;int_col;accident;clean_title;price_dollar;horsepower;cylinders;age;milage_k;log_price;accident_bin
Ford;2013;51000;E85 Flex Fuel;300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability;Automatic;Black;Black;At least 1 accident or damage reported;Yes;10300;300;6;12;51;9.239899174217728;1
INFINITI;2015;88900;Hybrid;354.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid;Automatic;Black;Black;None reported;Yes;15500;354;6;10;89;9.648595302907339;0
Audi;2017;84000;Gasoline;292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel;Automatic;Blue;Black;None reported;Yes;31000;292;4;8;84;10.341742483467284;0
BMW;2001;242000;Gasoline;282.0HP 4.4L 8 Cylinder Engine Gasoline Fuel;Automatic;Green;Green;None reported;Yes;7300;282;8;24;242;8.895629627136483;0
Lexus;2021;23436;Gasoline;311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel;Automatic;Black;Black;None reported;Yes;41927;311;6;4;23;10.64368528978735;0
Tesla;2020;34000;Electric;534.0HP Electric Motor Electric Fuel System;Automatic;Black;Black;None reported;Yes;69950;534;0;5;34;11.155535980093628;0
Toyota;2021;12500;Gasoline;382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel;Automatic;Yellow;Black;None reported;Yes;53500;382;6;4;12;10.887436932884098;0
Lincoln;2022;18196;Gasoline;400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel;Automatic;Black;Brown;None reported;Yes;62000;400;6;3;18;11.03488966402723;0
Land;2013;79800;Gasoline;375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel;Automatic;White;Black;None reported;Yes;29990;375;8;12;80;10.308619271743055;0
Dodge;2013;61074;Gasoline;305.0HP 3.6L V6 Cylinder Engine Gasoline Fuel;Automatic;Black;Gray;None reported;Yes;16800;305;6;12;61;9.72913416539135;0
Nissan;2003;74000;Gasoline;287.0HP 3.5L V6 Cylinder Engine Gasoline Fuel;Manual;Purple;–;None reported;Yes;11000;287;6;22;74;9.305650551780507;0
Jaguar;2018;35250;Gasoline;550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel;Automatic;Green;Black;None reported;Yes;68750;550;8;7;35;11.138232015528818;0
Chevrolet;2000;133510;E85 Flex Fuel;120.0HP 2.2L 4 Cylinder Engine Flex Fuel Capability;Automatic;Blue;Black;None reported;Yes;4500;120;4;25;134;8.411832675758411;0
Chevrolet;2021;52000;Gasoline;355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel;Automatic;Blue;Black;None reported;Yes;61000;355;8;4;52;11.018629143155449;0
Hyundai;2022;11650;Gasoline;276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel;Automatic;Black;Black;None reported;Yes;32300;276;4;3;12;10.382822509210747;0
Mercedes-Benz;2021;17500;Gasoline;382.0HP 2.0L 4 Cylinder Engine Gasoline Fuel;Automatic;Gray;Black;None reported;Yes;59995;382;4;4;18;11.002016504398489;0
BMW;2015;69000;Gasoline;445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel;Automatic;Gray;Black;None reported;Yes;25700;445;8;10;69;10.154246270883311;0
Mercedes-Benz;2018;28800;Gasoline;362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel;Automatic;Silver;Black;None reported;Yes;48000;362;6;7;29;10.778956289890028;0
Dodge;2006;300183;Gasoline;345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel;Automatic;Silver;Gray;At least 1 accident or damage reported;Yes;10900;345;8;19;300;9.296518068217235;1
Kia;2011;171000;Gasoline;276.0HP 3.5L V6 Cylinder Engine Gasoline Fuel;Automatic;Black;Black;None reported;Yes;5999;276;6;14;171;8.699348067653093;0
Lexus;2016;118700;Gasoline;383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel;Automatic;Black;Beige;None reported;Yes;46900;383;8;9;119;10.75577295443437;0
Jeep;2017;119000;Gasoline;180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel;Automatic;Red;Black;None reported;Yes;15900;180;4;8;119;9.674074388208323;0
Audi;2012;125575;Gasoline;211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel;Automatic;Silver;Black;None reported;Yes;8999;211;4;13;126;9.104868739033948;0
Hyundai;2007;16200;Gasoline;173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel;Automatic;Gold;Beige;None reported;Yes;8200;173;6;18;16;9.011889433252344;0
BMW;2014;70000;Gasoline;240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel;Automatic;White;Beige;At least 1 accident or damage reported;Yes;20000;240;4;11;70;9.903487552536127;1
Bentley;2011;20200;E85 Flex Fuel;552.0HP 6.0L 12 Cylinder Engine Flex Fuel Capability;Automatic;Black;Black;None reported;Yes;79950;552;12;14;20;11.2891567182621;0
Audi;2012;54000;Gasoline;310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel;Automatic;Black;Brown;At least 1 accident or damage reported;Yes;36880;310;6;13;54;10.51542467767053;1
MINI;2017;24280;Gasoline;228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel;Automatic;Black;Black;At least 1 accident or damage reported;Yes;29000;228;4;8;24;10.275051108968611;1
Toyota;2016;89148;Gasoline;268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel;Automatic;Black;Black;None reported;Yes;17500;268;6;9;89;9.769956159911606;0
Porsche;2017;73043;Gasoline;300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel;Automatic;White;Black;None reported;Yes;30990;300;6;8;73;10.341419850781794;0
Mercedes-Benz;2017;60000;Gasoline;503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel;Automatic;Gray;Black;At least 1 accident or damage reported;Yes;52500;503;8;8;60;10.868568448579715;1
Hummer;2005;110900;Gasoline;325.0HP 6.0L 8 Cylinder Engine Gasoline Fuel;Automatic;Gray;Black;None reported;Yes;19500;325;8;20;111;9.878169744551839;0
Porsche;2013;39000;Gasoline;400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel;Automatic;Blue;Black;None reported;Yes;73000;400;6;12;39;11.198214720130528;0
Mercedes-Benz;2016;120000;Gasoline;208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel;Automatic;Black;Black;None reported;Yes;19800;208;4;9;120;9.893437216682626;0
Chrysler;2009;134602;Gasoline;250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel;Automatic;Blue;Black;None reported;Yes;7500;250;6;16;135;8.922658299524402;0
Audi;2010;83500;Gasoline;200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel;Automatic;Silver;Black;None reported;Yes;6500;200;4;15;84;8.779557455883728;0
Ford;2014;37060;Gasoline;420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel;Manual;Black;Black;None reported;Yes;28500;420;8;11;37;10.257659366256743;0
Acura;2010;97700;Gasoline;300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel;Automatic;Blue;Beige;None reported;Yes;10995;300;6;15;98;9.305195902988862;0
Volvo;2018;40000;Plug-In Hybrid;400.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas;Automatic;Black;Black;None reported;Yes;42000;400;4;7;40;10.645424897265505;0
Mercedes-Benz;2014;186000;Gasoline;302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel;Automatic;Black;Beige;At least 1 accident or damage reported;Yes;10000;302;6;11;186;9.210340371976184;1
Lexus;2014;104000;Gasoline;306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel;Automatic;Black;Black;None reported;Yes;21000;306;6;11;104;9.95227771670556;0
BMW;2023;8500;Hybrid;382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid;Automatic;Gray;Beige;None reported;Yes;67900;382;6;2;8;11.125791313546788;0
Cadillac;2023;6090;Gasoline;237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel;Automatic;White;Beige;None reported;Yes;46900;237;4;2;6;10.75577295443437;0
Audi;2019;47523;Gasoline;248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel;Automatic;Black;Black;None reported;Yes;31000;248;4;6;48;10.341742483467284;0
Chrysler;2006;43000;Gasoline;425.0HP 6.1L 8 Cylinder Engine Gasoline Fuel;Automatic;Silver;Black;At least 1 accident or damage reported;Yes;19995;425;8;19;43;9.90323752128092;1
Bentley;2017;14684;Gasoline;582.0HP 6.0L 12 Cylinder Engine Gasoline Fuel;Automatic;White;White;None reported;Yes;130000;582;12;8;15;11.77528972943772;0
BMW;2019;57800;Gasoline;425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel;Automatic;Black;Red;None reported;Yes;55999;425;6;6;58;10.933089112414988;0
Toyota;2023;952;Gasoline;300.0HP 1.6L 3 Cylinder Engine Gasoline Fuel;Manual;Silver;Gray;None reported;Yes;49950;300;3;2;1;10.8187777840767;0
Audi;2019;21240;Gasoline;444.0HP 2.9L V6 Cylinder Engine Gasoline Fuel;Automatic;Black;Black;At least 1 accident or damage reported;Yes;59950;444;6;6;21;11.00126616045566;1
Porsche;2019;59338;Gasoline;335.0HP 3.0L V6 Cylinder Engine Gasoline Fuel;Automatic;Black;Black;None reported;Yes;42499;335;6;6;59;10.657235825223923;0
Maserati;2019;23230;Gasoline;424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel;Automatic;Black;Black;None reported;Yes;44999;424;6;6;23;10.714395546283317;0
Jaguar;2017;48000;Gasoline;340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel;Automatic;Red;Black;At least 1 accident or damage reported;Yes;30000;340;6;8;48;10.308952660644293;1
Lexus;2005;41059;Gasoline;225.0HP 3.3L V6 Cylinder Engine Gasoline Fuel;Automatic;White;Beige;None reported;Yes;11100;225;6;20;41;9.314700387300425;0
Porsche;2015;11500;Gasoline;340.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel;Automatic;Silver;–;None reported;Yes;72000;340;6;10;12;11.184421397998193;0
Genesis;2021;9950;Gasoline;365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel;Automatic;Silver;Blue;None reported;Yes;53950;365;6;4;10;10.895812970686281;0
Volkswagen;2023;633;Gasoline;315.0HP 2.0L 4 Cylinder Engine Gasoline Fuel;Manual;White;Black;None reported;Yes;47999;315;4;2;1;10.778935456339678;0
Hyundai;2015;66000;Hybrid;199.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid;Automatic;White;Gray;At least 1 accident or damage reported;Yes;15900;199;4;10;66;9.674074388208323;1
Audi;2014;59715;Gasoline;560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel;Automatic;Gray;Black;At least 1 accident or damage reported;Yes;45000;560;8;11;60;10.714417768752456;1
BMW;2012;85252;Gasoline;326.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel;Automatic;Black;Black;None reported;Yes;18500;326;6;13;85;9.825526011066415;0
Mercedes-Benz;2020;17900;Hybrid;362.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid;Automatic;Black;Black;At least 1 accident or damage reported;Yes;80000;362;6;5;18;11.289781913656018;1
BMW;2016;25500;Gasoline;560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel;Automatic;White;Black;None reported;Yes;55000;560;8;9;26;10.915088464214607;0
Hyundai;2023;3800;Gasoline;276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel;Manual;White;Black;None reported;Yes;34000;276;4;2;4;10.4341158035983;0
Rivian;2023;2800;Electric;835.0HP Electric Motor Electric Fuel System;Automatic;White;Green;None reported;Yes;92000;835;0;2;3;11.429543856031177;0
Mercedes-Benz;2018;33000;Gasoline;241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel;Automatic;Red;Black;At least 1 accident or damage reported;Yes;29900;241;4;7;33;10.305613759378778;1
BMW;2016;76009;Gasoline;300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel;Automatic;White;Beige;None reported;Yes;24950;300;6;9;76;10.124629101179664;0
Lexus;2015;48000;Gasoline;306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel;Automatic;Orange;Red;None reported;Yes;32900;306;6;10;48;10.401227936753463;0
BMW;2005;91420;Gasoline;215.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel;Automatic;Black;Black;None reported;Yes;8900;215;6;20;91;9.093806555720231;0
Toyota;2003;124756;Gasoline;130.0HP 1.8L 4 Cylinder Engine Gasoline Fuel;Manual;Beige;Beige;At least 1 accident or damage reported;Yes;4995;130;4;22;125;8.516192691082654;1
GMC;2012;116226;Gasoline;288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel;Automatic;Black;Black;None reported;Yes;7900;288;6;13;116;8.974618038455112;0
BMW;2019;41500;Plug-In Hybrid;369.0HP 1.5L 3 Cylinder Engine Plug-In Electric/Gas;Automatic;White;Black;None reported;Yes;86000;369;3;6;42;11.362102575235644;0
Lexus;2013;87001;Hybrid;200.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid;Automatic;Gold;Beige;None reported;Yes;17995;200;4;12;87;9.79784922051313;0
Chevrolet;2014;139804;Gasoline;195.0HP 4.3L V6 Cylinder Engine Gasoline Fuel;Automatic;White;Gray;At least 1 accident or damage reported;Yes;14500;195;6;11;140;9.581903928408666;1
Jeep;2022;27300;Gasoline;285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel;Automatic;Green;Black;None reported;Yes;47500;285;6;3;27;10.768484990022733;0
BMW;2014;36812;Gasoline;240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel;Automatic;White;Beige;None reported;Yes;27000;240;4;11;37;10.203592144986466;0
Land;2016;144000;Gasoline;340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel;Automatic;Black;Black;At least 1 accident or damage reported;Yes;18000;340;6;9;144;9.798127036878302;1
Cadillac;2019;44500;Gasoline;237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel;Automatic;Blue;White;None reported;Yes;28900;237;4;6;44;10.271596874100524;0
Bentley;2005;8332;Gasoline;400.0HP 6.75L 8 Cylinder Engine Gasoline Fuel;Automatic;White;Beige;None reported;Yes;47350;400;8;20;8;10.765322098614224;0
Mercedes-Benz;2016;69000;Gasoline;550.0HP 5.5L 8 Cylinder Engine Gasoline Fuel;Automatic;Black;Brown;None reported;Yes;36500;550;8;9;69;10.505067539570582;0
Ford;2013;105000;E85 Flex Fuel;300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability;Automatic;White;Black;At least 1 accident or damage reported;Yes;6600;300;6;12;105;8.794824928014517;1
Audi;2011;92203;Gasoline;211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel;Automatic;Red;Beige;None reported;Yes;9995;211;4;14;92;9.209840246934501;0
Nissan;2010;15600;Gasoline;485.0HP 3.8L V6 Cylinder Engine Gasoline Fuel;Automatic;White;Black;None reported;Yes;69500;485;6;15;16;11.149082031552883;0
Toyota;2010;72348;Gasoline;132.0HP 1.8L 4 Cylinder Engine Gasoline Fuel;Automatic;Red;Gray;At least 1 accident or damage reported;Yes;9995;132;4;15;72;9.209840246934501;1
Rivian;2023;2500;Electric;835.0HP Electric Motor Electric Fuel System;Automatic;Green;White;None reported;Yes;94000;835;0;2;2;11.451050061252142;0
Porsche;2016;96000;Plug-In Hybrid;416.0HP 3.0L V6 Cylinder Engine Plug-In Electric/Gas;Automatic;White;Red;At least 1 accident or damage reported;Yes;23000;416;6;9;96;10.043249494911286;1
INFINITI;2016;52750;Hybrid;360.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid;Automatic;White;Black;At least 1 accident or damage reported;Yes;28998;360;6;9;53;10.274982141073139;1
BMW;2015;41000;Gasoline;445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel;Automatic;Black;Black;None reported;Yes;30000;445;8;10;41;10.308952660644293;0
Mercedes-Benz;2016;62000;Gasoline;469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel;Automatic;Black;Black;None reported;Yes;40000;469;8;9;62;10.596634733096073;0
Land;2006;153843;Gasoline;300.0HP 4.4L 8 Cylinder Engine Gasoline Fuel;Automatic;Red;Beige;At least 1 accident or damage reported;Yes;9950;300;8;19;154;9.205327830152639;1
Ford;2015;194454;Gasoline;169.0HP 2.5L 4 Cylinder Engine Gasoline Fuel;Automatic;White;Black;None reported;Yes;9888;169;4;10;194;9.199077179697472;0
Lexus;2021;21000;Gasoline;383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel;Automatic;White;Black;None reported;Yes;89999;383;8;4;21;11.407553838139561;0
Dodge;2006;218000;Gasoline;330.0HP 5.7L 8 Cylinder Engine Gasoline Fuel;Automatic;Red;Gray;None reported;Yes;12990;330;8;19;218;9.471935109664646;0
Nissan;2021;67800;Gasoline;400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel;Automatic;Silver;Black;At least 1 accident or damage reported;Yes;36500;400;8;4;68;10.505067539570582;1
Porsche;2014;79000;Gasoline;275.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel;Automatic;Red;Black;At least 1 accident or damage reported;Yes;42999;275;6;11;79;10.668932138591325;1
Chevrolet;2006;66840;Gasoline;303.0HP 5.3L 8 Cylinder Engine Gasoline Fuel;Automatic;White;Gray;At least 1 accident or damage reported;Yes;12000;303;8;19;67;9.392661928770137;1
BMW;2013;86000;Gasoline;560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel;Automatic;Blue;White;None reported;Yes;32000;560;8;12;86;10.373491181781864;0
Chevrolet;2005;75000;Gasoline;240.0HP 3.8L V6 Cylinder Engine Gasoline Fuel;Automatic;Black;Black;None reported;Yes;12500;240;6;20;75;9.433483923290392;0
Land;2015;84000;Gasoline;240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel;Automatic;Beige;Black;At least 1 accident or damage reported;Yes;22800;240;4;10;84;10.034515814942532;1
